text,mood
I feel absolutely wonderful today,happy
Everything is going so well in my life,happy
I am so grateful for everything I have,happy
Today was an amazing and joyful day,happy
I just got promoted and I feel great,happy
Life is beautiful and full of possibilities,happy
I am so excited about the future,happy
My friends made me feel so loved today,happy
I achieved my goal and I am thrilled,happy
I woke up feeling full of energy,happy
The sun is shining and I feel alive,happy
I am so happy and content right now,happy
My family surprised me with a party,happy
I just finished a great book and feel inspired,happy
I aced my exam and I am so proud,happy
I went for a walk and felt peaceful,happy
I laughed so hard with my best friend today,happy
I feel like nothing can stop me right now,happy
Everything I worked hard for is paying off,happy
I feel full of hope and optimism,happy
I got a gift from someone I love,happy
My heart is overflowing with joy today,happy
I feel confident and ready to face the world,happy
I just had the best day of my life,happy
Life is treating me so well lately,happy
I feel deeply loved and appreciated,happy
Today I helped someone and it made me happy,happy
I succeeded at something I worked hard for,happy
I feel so light and free right now,happy
I am grateful for this beautiful moment,happy
I am smiling for no reason and it feels good,happy
I started a new hobby and I love it,happy
I completed my project and feel satisfied,happy
I feel thankful for every small thing today,happy
Today was filled with laughter and fun,happy
I feel so sad and hopeless right now,sad
Nothing seems to be going right for me,sad
I feel like nobody understands me,sad
I have been crying all day and cannot stop,sad
Everything feels dark and meaningless,sad
I lost someone I truly cared about,sad
I feel empty inside and very lonely,sad
No one seems to care about how I feel,sad
I miss someone who is no longer here,sad
I feel like giving up on everything,sad
My heart feels heavy and broken today,sad
I have been feeling down for a long time,sad
I feel like a burden to everyone around me,sad
I am overwhelmed with grief and sorrow,sad
I don't see the point in trying anymore,sad
I feel disconnected from everyone I know,sad
Things keep getting worse no matter what I do,sad
I feel like I am not good enough,sad
I cried myself to sleep last night,sad
I feel forgotten and invisible to others,sad
Life feels so painful and heavy right now,sad
I am exhausted from pretending to be okay,sad
I feel completely lost and without direction,sad
I don't feel like getting out of bed today,sad
My heart aches for what I have lost,sad
I feel lonely even when people are around me,sad
I cannot stop thinking about what went wrong,sad
I feel so hopeless and down today,sad
Everything reminds me of something painful,sad
I am struggling to find reasons to be happy,sad
I feel like a shadow of who I used to be,sad
I keep failing and it makes me feel worthless,sad
I feel drained and emotionally exhausted,sad
I feel like screaming right now,angry
Why does everything always go wrong for me,angry
People are so inconsiderate and rude,angry
I am furious about how I was treated today,angry
This situation is completely unfair and unjust,angry
I cannot believe how selfish some people are,angry
I am done being treated like I don't matter,angry
This is absolutely infuriating and wrong,angry
I feel so frustrated I can barely think straight,angry
Someone betrayed my trust and I am livid,angry
I am sick and tired of being ignored,angry
I cannot control this rage inside me,angry
People keep taking me for granted and I hate it,angry
I feel disrespected and deeply offended,angry
Why do people always make things so difficult,angry
I am angry at myself for making that mistake,angry
I cannot stand the injustice happening around me,angry
I feel like no one listens to what I say,angry
This is the last straw and I have had enough,angry
I am boiling with anger right now,angry
Everything is irritating me today,angry
I feel so wound up and ready to explode,angry
Nobody respects boundaries and it makes me mad,angry
I am fed up with people letting me down,angry
I keep being interrupted and it's maddening,angry
How dare they treat me like this,angry
I feel furious and completely out of control,angry
This is so wrong and I refuse to accept it,angry
I am angry because nothing is working out,angry
I feel betrayed and absolutely outraged,angry
I just had a regular day at work,neutral
I watched some television after dinner tonight,neutral
Today was a pretty average and ordinary day,neutral
I went to the grocery store and came home,neutral
Nothing special happened today worth noting,neutral
I completed my usual tasks and responsibilities,neutral
I read the news and went for a short walk,neutral
My day was fine but nothing stood out,neutral
I had lunch and attended a meeting at work,neutral
I finished my assignments and cleaned my room,neutral
The weather was okay and the day was calm,neutral
I spent some time browsing the internet today,neutral
I did my laundry and cooked a simple meal,neutral
Today was just like any other regular day,neutral
I have no strong feelings about today,neutral
I went to class and came back to the hostel,neutral
I checked my messages and responded to emails,neutral
The day passed by quickly without much happening,neutral
I woke up on time and followed my routine,neutral
I attended all my classes and took notes,neutral
Things were okay today nothing major happened,neutral
I had a normal conversation with a colleague,neutral
I just finished some pending work from yesterday,neutral
The meeting was informative but nothing exciting,neutral
I spent the evening reading and resting quietly,neutral
Today felt like a typical weekday for me,neutral
I did some exercise and felt moderately okay,neutral
My productivity was average and the day was fine,neutral
I went for a drive without any destination,neutral
I had coffee and worked on my laptop today,neutral
Nothing made me particularly happy or sad today,neutral
I completed three tasks from my to-do list,neutral
I had a regular phone call with a friend,neutral
The day was uneventful and I am okay,neutral
I ate my meals on time and went to sleep early,neutral
I feel content and at peace inside,happy
My confidence is at an all time high lately,happy
I am beaming with pride after today,happy
Today surprised me in the most wonderful way,happy
I feel like the luckiest person alive today,happy
I am bubbling with excitement about tomorrow,happy
Today I felt truly seen and understood,happy
I am on top of the world right now,happy
Something magical happened to me today,happy
I feel wonderful and fully alive today,happy
I feel numb and do not care anymore,sad
I feel like the world would be better without me,sad
I cannot find the motivation to do anything,sad
I feel stuck and unable to move forward,sad
My life feels like it has no purpose,sad
I am deeply unhappy and do not know why,sad
I have been isolating myself from everyone,sad
I feel like I am drowning in my own thoughts,sad
Nothing brings me joy or comfort anymore,sad
I feel defeated and tired of trying,sad
I am seething with resentment and anger,angry
I feel explosive and out of control right now,angry
I am deeply angered by the unfairness around me,angry
I snap at everything and feel constantly irritated,angry
I feel like punching something from frustration,angry
My blood is boiling over what just happened,angry
I cannot calm down no matter what I try,angry
I am so angry I cannot think or speak,angry
I feel hostility and rage building inside me,angry
I want to yell at the top of my lungs,angry
I wake up every morning filled with energy and passion,happy
My heart sings with pure joy and gratitude today,happy
I feel unstoppable and ready to conquer anything,happy
Life has never felt so rich and meaningful,happy
I am celebrating a huge win and feeling amazing,happy
I radiate positivity and feel deeply at peace,happy
The world feels bright and full of opportunity,happy
I just received wonderful news that made my day,happy
Everything clicked today and I feel brilliant,happy
I am overwhelmed with happiness and love,happy
My spirit is soaring high above the clouds today,happy
I feel cherished and understood by everyone around me,happy
I am brimming with creative ideas and enthusiasm,happy
Today I made a difference and it feels incredible,happy
Pure bliss and contentment wash over me right now,happy
I feel completely shattered and broken on the inside,sad
A deep emptiness has swallowed everything I feel,sad
I cannot stop the tears from falling today,sad
My world collapsed and I feel utterly hopeless,sad
Nobody reaches out and I feel completely invisible,sad
I drag myself through each day without any purpose,sad
The weight of sadness crushes me from within,sad
I feel like I am disappearing into nothingness,sad
Everything I touch crumbles and I feel worthless,sad
Grief has wrapped itself around me like a shroud,sad
I am drowning in sorrow with no shore in sight,sad
The loneliness is unbearable and I cannot escape it,sad
I feel abandoned and forgotten by everyone I loved,sad
My chest aches with an overwhelming sadness today,sad
I have lost all hope and cannot find the light,sad
I am absolutely livid and cannot calm myself down,angry
This outrage is consuming every cell of my body,angry
How dare they disrespect me so blatantly and cruelly,angry
I feel white hot fury burning inside my chest,angry
The injustice of this situation makes me want to scream,angry
I am beyond furious at the unfair treatment I received,angry
Every word they said felt like a slap in the face,angry
I cannot tolerate this level of disrespect any longer,angry
My patience has completely snapped and I am enraged,angry
I feel like smashing everything around me out of rage,angry
Nobody listens and my anger keeps growing stronger,angry
I am fed up and seething with righteous indignation,angry
I cannot shake the fury burning inside me right now,angry
The rage is blinding me and I cannot think straight,angry
I feel explosive hostility towards the situation right now,angry
I completed my task list and the day was fine,neutral
The commute was long but nothing notable happened today,neutral
I attended a seminar and learned some basic facts,neutral
My schedule ran on time and I ate my meals,neutral
Today was unremarkable and I simply followed my routine,neutral
I had a standard conversation and the meeting was okay,neutral
Nothing dramatic happened and the day was very typical,neutral
I went for a walk and felt neither good nor bad,neutral
I processed some paperwork and finished before dinner,neutral
The day passed without any highs or lows for me,neutral
I cry every night and wake up feeling empty,sad
My soul feels crushed under a mountain of grief,sad
I feel like I am slowly fading away inside,sad
The sadness never leaves me no matter what I do,sad
I sob without knowing why and it scares me,sad
I feel like a hollow shell with nothing inside,sad
My eyes fill with tears every time I think,sad
Everything good in my life seems to have vanished,sad
I feel broken beyond repair and see no way out,sad
The darkness inside me is becoming too much to bear,sad
I am thrilled and beaming with pride today,happy
Joy is bursting out of me and I cannot hide it,happy
I feel genuinely happy and at ease with everything,happy
My soul is dancing with delight and happiness,happy
Everything feels perfectly right and wonderful today,happy
I glow with warmth and gratitude for my life,happy
I feel elated and full of positive energy right now,happy
My laughter comes easily and my heart is light,happy
Today I feel a deep sense of accomplishment and joy,happy
I am absolutely delighted by how things turned out,happy
